Line_ID,Color_ID,Operator,Current_Status,Latitude,Longitude,Speed,Stop_ID,District,Date,Time,Day,Workday
4701,Yellow Line,CM,In Transit,38.65761184692383,-8.990095138549805,3.0555555555555554,090059,Bairro da Remoa,2025-05-20,14:34:03,Tuesday,True
4641,Red Line,CM,In Transit,38.529945373535156,-8.885849952697754,0.0,160213,Bonfim,2025-05-20,14:34:04,Tuesday,True
4562,Red Line,CM,Approaching,38.529354095458984,-8.886043548583984,6.388888888888888,162008,Bonfim,2025-05-20,14:33:24,Tuesday,True
4562,Red Line,CM,In Transit,38.56257247924805,-8.879021644592285,0.0,130656,Portal Branco,2025-05-20,14:34:07,Tuesday,True
4412,Red Line,CM,Approaching,38.5209846496582,-8.794493675231934,13.61111111111111,160305,Unknown,2025-05-20,14:33:18,Tuesday,True
4702,Yellow Line,CM,Stationed,38.75552749633789,-8.950451850891113,0.0,010140,Canto do Pinheiro,2025-05-20,14:34:07,Tuesday,True
4705,Yellow Line,CM,In Transit,38.70626449584961,-8.976593017578125,5.833333333333333,100083,Bairro dos Pescadores,2025-05-20,14:34:05,Tuesday,True
4600,Red Line,CM,In Transit,38.653438568115234,-9.06764030456543,0.0,040006,Verderena,2025-05-20,14:34:14,Tuesday,True
4621,Red Line,CM,In Transit,38.59250259399414,-9.046308517456055,11.11111111111111,040115,Unknown,2025-05-20,14:34:12,Tuesday,True
4560,Red Line,CM,In Transit,38.53395080566406,-9.026029586791992,9.722222222222221,160758,Azeitão (São Lourenço e São Simão),2025-05-20,14:34:06,Tuesday,True
4504,Red Line,CM,Approaching,38.753684997558594,-8.959342956542969,3.333333333333333,010079,Várzea,2025-05-20,14:34:14,Tuesday,True
4420,Blue Line,CM,In Transit,38.541542053222656,-8.876148223876953,5.277777777777778,160375,Nova Azeda,2025-05-20,14:34:04,Tuesday,True
4436,Blue Line,CM,Approaching,38.526527404785156,-8.861579895019531,5.277777777777778,160209,São Sebastião,2025-05-20,14:34:10,Tuesday,True
4600,Red Line,CM,Approaching,38.655391693115234,-9.064664840698242,8.333333333333334,040007,Verderena,2025-05-20,14:34:09,Tuesday,True
4107,Blue Line,CM,Approaching,38.65549087524414,-9.027511596679688,2.7777777777777777,090090,Bairro Gouveia,2025-05-20,14:34:11,Tuesday,True
4406,Blue Line,CM,In Transit,38.5233268737793,-8.896556854248047,8.055555555555555,160161,Troino,2025-05-20,14:34:06,Tuesday,True
4452,Red Line,CM,In Transit,38.515357971191406,-8.82960319519043,0.0,160695,Urbanização Casas do Sado,2025-05-20,14:34:16,Tuesday,True
4512,Red Line,CM,In Transit,38.62679672241211,-8.916885375976562,8.333333333333334,130228,Pinhal Novo,2025-05-20,14:34:05,Tuesday,True
4540,Red Line,CM,In Transit,38.5560188293457,-8.799625396728516,15.555555555555555,160009,Poceirão e Marateca,2025-05-20,14:34:05,Tuesday,True
4422,Red Line,CM,In Transit,38.52722930908203,-8.905755043029785,0.0,160442,Bairro dos Pescadores,2025-05-20,14:34:12,Tuesday,True
4701,Yellow Line,CM,In Transit,38.679649353027344,-8.943581581115723,15.277777777777777,060005,Atalaia e Alto Estanqueiro-Jardia,2025-05-20,14:34:04,Tuesday,True
4437,Red Line,CM,Stationed,38.52822494506836,-8.882718086242676,0.0,160065,Arangues,2025-05-20,14:34:14,Tuesday,True
2220,Blue Line,CM,In Transit,38.79264450073242,-9.172589302062988,0.0,110577,Bairro dos Cágados,2025-05-20,14:33:50,Tuesday,True
3017,Red Line,CM,Stationed,38.64863586425781,-9.18354606628418,0.0,020592,Casal do Outeiro,2025-05-20,14:34:07,Tuesday,True
4720,Yellow Line,CM,In Transit,38.530853271484375,-8.885716438293457,5.555555555555555,162001,Bonfim,2025-05-20,14:34:04,Tuesday,True
1525,Red Line,CM,In Transit,38.74577331542969,-9.282118797302246,7.777777777777778,121144,Fontainhas,2025-05-20,14:33:06,Tuesday,True
1721,Red Line,CM,In Transit,38.7569580078125,-9.23119068145752,10.0,030685,Reboleira,2025-05-20,14:33:59,Tuesday,True
3013,Red Line,CM,Approaching,38.65293502807617,-9.165815353393555,5.277777777777778,020516,Alembrança,2025-05-20,14:34:04,Tuesday,True
3103,Red Line,CM,Approaching,38.626373291015625,-9.118952751159668,9.722222222222221,140217,Amora,2025-05-20,14:34:09,Tuesday,True
2703,Red Line,CM,Stationed,38.79862594604492,-9.147605895996094,0.0,070636,Zona Antiga de Fetais,2025-05-20,14:33:50,Tuesday,True
2310,Red Line,CM,Approaching,38.972965240478516,-8.983390808105469,9.722222222222221,180780,Povos,2025-05-20,14:34:10,Tuesday,True
1724,Red Line,CM,In Transit,38.71099853515625,-9.238848686218262,8.61111111111111,120160,Pedreira dos Húngaros,2025-05-20,14:34:01,Tuesday,True
1218,Red Line,CM,Approaching,38.7881965637207,-9.305148124694824,0.0,170487,Agualva e Mira-Sintra,2025-05-20,14:34:04,Tuesday,True
1502,Red Line,CM,Stationed,38.70390319824219,-9.230488777160645,0.0,121059,Baixa de Algés,2025-05-20,14:34:11,Tuesday,True
1241,Red Line,CM,Approaching,38.7994270324707,-9.420282363891602,15.0,171388,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2025-05-20,14:34:14,Tuesday,True
3526,Red Line,CM,In Transit,38.639217376708984,-9.152737617492676,6.388888888888888,149999,Quinta da Marialva,2025-05-20,14:34:02,Tuesday,True
3716,Red Line,CM,In Transit,38.719669342041016,-9.174976348876953,8.333333333333334,060399,Santa Isabel,2025-05-20,14:33:57,Tuesday,True
2796,Red Line,CM,In Transit,38.84059524536133,-9.16103744506836,7.777777777777778,070443,Infantado,2025-05-20,14:34:01,Tuesday,True
2711,Red Line,CM,In Transit,38.78770446777344,-9.103513717651367,7.222222222222222,070693,Urbanização Real Forte,2025-05-20,14:34:15,Tuesday,True
2711,Red Line,CM,Stationed,38.80088424682617,-9.119955062866211,0.0,070620,Campo do Rio,2025-05-20,14:34:14,Tuesday,True
